ADMJ     2023-09-26 10:39:30 6340674 ADMJBG WLI AGTKYRZ000 001	28002R N/A N/A Zip code is not numeric                                          com.lidp.enterprise.process.tablemodule.AGGT9900                                                     N/A                                                                                                                                                                                                     
                                                              	
ADMJ     2023-09-26 10:39:30 6340677 ADMJBG WLI 4444444444 001	28008R N/A N/A The value in the following field is invalid: Social security number or employer identification number com.lidp.enterprise.process.tablemodule.AGGT9900                                                     N/A                                                                                                                                                                                                     
                                                              	
ADMJ     2023-09-26 10:39:31 6340682 ADMJBG WLI 8888888888 001	28008R N/A N/A The value in the following field is invalid: Social security number or employer identification number com.lidp.enterprise.process.tablemodule.AGGT9900                                                     N/A                                                                                                                                                                                                     
                                                              	
ADMJ     2023-09-26 10:39:31 6340686 ADMJBG WLI AGTLONGNAM 001	12248P N/A N/A Unknown error during 'WRITE' %P                                  com.lidp.enterprise.background.process.BG_Process_ADMJ                                               Finalize failed[WR]                                                                                                                                                                                     
                                                              	
ADMJ     2023-09-26 10:46:52 3420502 ADMJBG WLI 4444444444 001	28008R N/A N/A The value in the following field is invalid: Social security number or employer identification number com.lidp.enterprise.process.tablemodule.AGGT9900                                                     N/A                                                                                                                                                                                                     
                                                              	
ADMJ     2023-09-26 10:46:53 3420505 ADMJBG WLI 8888888888 001	28008R N/A N/A The value in the following field is invalid: Social security number or employer identification number com.lidp.enterprise.process.tablemodule.AGGT9900                                                     N/A                                                                                                                                                                                                     
                                                              	
ADMJ     2023-09-26 10:46:53 3420508 ADMJBG WLI AGTKYRZ000 001	28002R N/A N/A Zip code is not numeric                                          com.lidp.enterprise.process.tablemodule.AGGT9900                                                     N/A                                                                                                                                                                                                     
                                                              	
ADMJ     2023-09-26 10:46:53 3420512 ADMJBG WLI AGTLONGNAM 001	12248P N/A N/A Unknown error during 'WRITE' %P                                  com.lidp.enterprise.background.process.BG_Process_ADMJ                                               Finalize failed[WR]                                                                                                                                                                                     
                                                              	
ADMJ     2023-09-26 13:46:51 8299745 ADMJBG WLI 4444444444 001	28008R N/A N/A The value in the following field is invalid: Social security number or employer identification number com.lidp.enterprise.process.tablemodule.AGGT9900                                                     N/A                                                                                                                                                                                                     
                                                              	
ADMJ     2023-09-26 13:46:58 8299749 ADMJBG WLI AGTLONGNAM 001	12248P N/A N/A Unknown error during 'WRITE' %P                                  com.lidp.enterprise.background.process.BG_Process_ADMJ                                               Finalize failed[WR]                                                                                                                                                                                     
                                                              	
ADMJ     2023-09-26 13:46:58 8299761 ADMJBG WLI 8888888888 001	28008R N/A N/A The value in the following field is invalid: Social security number or employer identification number com.lidp.enterprise.process.tablemodule.AGGT9900                                                     N/A                                                                                                                                                                                                     
                                                              	
ADMJ     2023-09-26 13:46:58 8299764 ADMJBG WLI AGTKYRZ000 001	28002R N/A N/A Zip code is not numeric                                          com.lidp.enterprise.process.tablemodule.AGGT9900                                                     N/A                                                                                                                                                                                                     
                                                              	
