2024-03-25 07:44:34,758 INFO  (main) [BOOT] JVM OpenJDK 64-Bit Server VM Oracle Corporation 11.0.2+9
2024-03-25 07:44:34,787 INFO  (main) [BOOT] JVM arguments = []
2024-03-25 07:44:34,787 INFO  (main) [BOOT] PID = 80584
2024-03-25 07:44:34,835 INFO  (main) [org.infinispan.SERVER] ISPN080000: Infinispan Server starting
2024-03-25 07:44:34,835 INFO  (main) [org.infinispan.SERVER] ISPN080017: Server configuration: infinispan.xml
2024-03-25 07:44:34,835 INFO  (main) [org.infinispan.SERVER] ISPN080032: Logging configuration: C:\Users\tranbr\apps\infinispan\infinispan-server-13.0.6.Final\server\conf\log4j2.xml
2024-03-25 07:44:36,074 INFO  (main) [org.infinispan.SERVER] ISPN080027: Loaded extension 'query-dsl-filter-converter-factory'
2024-03-25 07:44:36,075 INFO  (main) [org.infinispan.SERVER] ISPN080027: Loaded extension 'continuous-query-filter-converter-factory'
2024-03-25 07:44:36,079 INFO  (main) [org.infinispan.SERVER] ISPN080027: Loaded extension 'iteration-filter-converter-factory'
2024-03-25 07:44:36,079 INFO  (main) [org.infinispan.SERVER] ISPN080027: Loaded extension 'jdk.nashorn.api.scripting.NashornScriptEngineFactory'
2024-03-25 07:44:37,092 INFO  (main) [org.infinispan.CONTAINER] ISPN000556: Starting user marshaller 'org.infinispan.commons.marshall.ImmutableProtoStreamMarshaller'
2024-03-25 07:44:37,214 WARN  (main) [org.infinispan.PERSISTENCE] ISPN000554: jboss-marshalling is deprecated and planned for removal
2024-03-25 07:44:37,488 INFO  (main) [org.infinispan.CONTAINER] ISPN000128: Infinispan version: Infinispan 'Triskaidekaphobia' 13.0.6.Final
2024-03-25 07:44:37,498 INFO  (main) [org.infinispan.CONTAINER] ISPN000389: Loaded global state, version=13.0.6.Final timestamp=2023-09-12T15:09:10.147793700Z
2024-03-25 07:44:37,649 INFO  (main) [org.infinispan.CLUSTER] ISPN000078: Starting JGroups channel `cluster` with stack `tcp`
2024-03-25 07:44:42,708 INFO  (main) [org.jgroups.protocols.pbcast.GMS] LIDPTI-101-27948: no members discovered after 2009 ms: creating cluster as coordinator
2024-03-25 07:44:42,716 INFO  (main) [org.infinispan.CLUSTER] ISPN000094: Received new cluster view for channel cluster: [LIDPTI-101-27948|0] (1) [LIDPTI-101-27948]
2024-03-25 07:44:42,730 INFO  (main) [org.infinispan.CLUSTER] ISPN000079: Channel `cluster` local address is `LIDPTI-101-27948`, physical addresses are `[172.22.48.1:7800]`
2024-03-25 07:44:43,129 INFO  (main) [org.jboss.threads] JBoss Threads version 2.3.3.Final
2024-03-25 07:44:43,217 INFO  (main) [org.infinispan.CONTAINER] ISPN000104: Using EmbeddedTransactionManager
2024-03-25 07:44:43,563 INFO  (main) [org.infinispan.server.core.RequestTracer] OpenTracing integration is disabled
2024-03-25 07:44:43,630 INFO  (ForkJoinPool.commonPool-worker-19) [org.infinispan.SERVER] ISPN080018: Started connector HotRod (internal)
2024-03-25 07:44:43,700 INFO  (main) [org.infinispan.SERVER] ISPN080018: Started connector REST (internal)
2024-03-25 07:44:44,521 INFO  (main) [org.infinispan.SERVER] ISPN080004: Connector SinglePort (default) listening on 127.0.0.1:11222
2024-03-25 07:44:44,521 INFO  (main) [org.infinispan.SERVER] ISPN080034: Server 'LIDPTI-101-27948' listening on http://127.0.0.1:11222
2024-03-25 07:44:44,541 INFO  (main) [org.infinispan.SERVER] ISPN080001: Infinispan Server 13.0.6.Final started in 9704ms
2024-03-25 07:46:08,967 WARN  (blocking-thread--p3-t3) [org.infinispan.encoding.impl.StorageConfigurationManager] ISPN000599: Configuration for cache 'setup' does not define the encoding for keys or values. If you use operations that require data conversion or queries, you should configure the cache with a specific MediaType for keys or values.
2024-03-25 07:46:08,966 WARN  (blocking-thread--p3-t1) [org.infinispan.encoding.impl.StorageConfigurationManager] ISPN000599: Configuration for cache 'conv' does not define the encoding for keys or values. If you use operations that require data conversion or queries, you should configure the cache with a specific MediaType for keys or values.
2024-03-25 07:46:08,968 WARN  (blocking-thread--p3-t5) [org.infinispan.encoding.impl.StorageConfigurationManager] ISPN000599: Configuration for cache 'enqcache' does not define the encoding for keys or values. If you use operations that require data conversion or queries, you should configure the cache with a specific MediaType for keys or values.
2024-03-25 07:46:08,979 WARN  (blocking-thread--p3-t2) [org.infinispan.encoding.impl.StorageConfigurationManager] ISPN000599: Configuration for cache 'kerbcache' does not define the encoding for keys or values. If you use operations that require data conversion or queries, you should configure the cache with a specific MediaType for keys or values.
2024-03-25 07:46:08,982 WARN  (blocking-thread--p3-t4) [org.infinispan.encoding.impl.StorageConfigurationManager] ISPN000599: Configuration for cache 'closereportscache' does not define the encoding for keys or values. If you use operations that require data conversion or queries, you should configure the cache with a specific MediaType for keys or values.
